"BoxOffDomIA" "Anno" "Sequel" "Tipo" "Fonte" "Metodo_Prod" "Genere" "Rating" "Budget"
"Treasure Planet 2002" 51.506701 2002 0 "Kids Fiction" "Fiction Source" "Hand Animation" "Avventura" "PG" 100
"Trapped 2002" 9.393132 2002 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Thriller/Suspense" "R" 30
"Transsiberian 2008" 2.421551 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 15
"Transporter 3 2008" 34.851235 2008 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" NA
"Transformers 2007" 365.912289 2007 0 "Science Fiction" "TV" "Animation/Live Action" "Azione" "PG-13" 151
"Transamerica 2005" 10.864664 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 1
"Traitor 2008" 25.8577 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 22
"Training Day 2001" 106.307343 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 45
"Trailer Park Boys: The Movie 2006" 4.617765 2006 0 "Contemporary Fiction" "TV" "Live Action" "Commedia" "R" NA
"Traffic 2000" 173.030895 2000 0 "Contemporary Fiction" "TV" "Live Action" "Drammatico" "R" 48
"Town & Country 2001" 9.347393 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 105
"Touching the Void 2004" 5.820587 2004 0 "Factual" "Real Life Events" "Live Action" "Documentario" "R" 2
"Tortilla Soup 2001" 6.19911 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Torque 2004" 26.905184 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 40
"Tomcats 2001" 18.900787 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 11
"Tom yum goong 2006" 14.508069 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 5.7
"Together 2001" 1.437905 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" NA "R" NA
"To Be and To Have 2003" 9.690017 2003 0 "Factual" "Real Life Events" "Live Action" "Documentario" "Not Rated" NA
"TMNT 2007" 62.079388 2007 0 "Science Fiction" "Comic/Graphic Novel" "Digital Animation" "Azione" "PG" 35
"Titan A.E. 2000" 33.304842 2000 0 "Science Fiction" "Original Screenplay" "Digital Animation" "Avventura" "PG" 75
